Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
199,0.62215,0.25,0.37215
200,0.636,0.25,0.386
201,0.63055,0.25,0.38055
202,0.59145,0.25,0.34145
203,0.62015,0.25,0.37015
204,0.6163,0.25,0.3663
205,0.6105,0.25,0.3605
206,0.6856,0.25,0.4356
207,0.7529,0.25,0.5029
208,0.86145,0.25,0.61145
209,0.9537,0.25,0.7037
210,1.0091,0.25,0.7591
211,1.1059,0.25,0.8559
212,1.1302,0.25,0.8802
213,0.98635,0.25,0.73635
214,0.80425,0.25,0.55425
215,0.6226,0.25,0.3726
216,0.5212,0.25,0.2712
217,0.47755,0.25,0.22755
218,0.4566,0.25,0.2066
219,0.4359,0.25,0.1859
220,0.4437,0.25,0.1937
221,0.5056,0.25,0.2556
222,0.63585,0.25,0.38585
223,0.65995,0.25,0.40995
224,0.6056,0.25,0.3556
225,0.6015,0.25,0.3515
226,0.58925,0.25,0.33925
227,0.6058,0.25,0.3558
228,0.6463,0.25,0.3963
229,0.6729,0.25,0.4229
230,0.7899,0.25,0.5399
231,0.8814,0.25,0.6314
232,1.0183,0.25,0.7683
233,1.1183,0.25,0.8683
234,1.14285,0.25,0.89285
235,1.1461,0.25,0.8961
236,1.18555,0.25,0.93555
237,1.05945,0.25,0.80945
238,0.87625,0.25,0.62625
239,0.70145,0.25,0.45145
